Num Fixed,Min-cut Weight
463,128
463,128
463,128
463,128
463,128
463,128
463,128
463,128
463,128
463,128
464,128
464,128
464,128
464,128
464,128
464,128
464,128
464,128
464,128
464,128
465,128
465,128
465,128
465,128
465,128
465,128
465,128
465,128
465,128
465,128
466,128
466,128
466,128
466,128
466,128
466,128
466,128
466,128
466,128
466,128
467,128
467,128
467,128
467,128
467,128
467,128
467,128
467,128
467,128
467,128
468,128
468,128
468,128
468,128
468,128
468,128
468,128
468,128
468,128
468,128
469,128
469,128
469,128
469,128
469,128
469,128
469,128
469,128
469,128
469,128
470,128
470,128
470,128
470,128
470,128
470,128
470,128
470,128
470,128
470,128
471,128
471,128
471,128
471,128
471,128
471,128
471,128
471,128
471,128
471,128
472,128
472,128
472,128
472,128
472,128
472,128
472,128
472,128
472,128
472,128
473,128
473,128
473,128
473,128
473,128
473,128
473,128
473,128
473,128
473,128
474,128
474,128
474,128
474,128
474,128
474,128
474,128
474,128
474,128
474,128
475,128
475,128
475,128
475,128
475,128
475,128
475,128
475,128
475,128
475,128
476,128
476,128
476,128
476,128
476,128
476,128
476,128
476,128
476,128
476,128
477,128
477,128
477,128
477,128
477,128
477,128
477,128
477,128
477,128
477,128
478,128
478,128
478,128
478,128
478,128
478,128
478,128
478,128
478,128
478,128
479,128
479,128
479,128
479,128
479,128
479,128
479,128
479,128
479,128
479,128
480,128
480,128
480,128
480,128
480,128
480,128
480,128
480,128
480,128
480,128
481,128
481,128
481,128
481,128
481,128
481,128
481,128
481,128
481,128
481,128
482,128
482,128
482,128
482,128
482,128
482,128
482,128
482,128
482,128
482,128
483,128
483,128
483,128
483,128
483,128
483,128
483,128
483,128
483,128
483,128
484,128
484,128
484,128
484,128
484,128
484,128
484,128
484,128
484,128
484,128
485,128
485,128
485,128
485,128
485,128
485,128
485,128
485,128
485,128
485,128
486,128
486,128
486,128
486,128
486,128
486,128
486,128
486,128
486,128
486,128
487,128
487,128
487,128
487,128
487,128
487,128
487,128
487,128
487,128
487,128
488,128
488,128
488,128
488,128
488,128
488,128
488,128
488,128
488,128
488,128
489,128
489,128
489,128
489,128
489,128
489,128
489,128
489,128
489,128
489,128
490,128
490,128
490,128
490,128
490,128
490,128
490,128
490,128
490,128
490,128
491,128
491,128
491,128
491,128
491,128
491,128
491,128
491,128
491,128
491,128
492,128
492,128
492,128
492,128
492,128
492,128
492,128
492,128
492,128
492,128
493,128
493,128
493,128
493,128
493,128
493,128
493,128
493,128
493,128
493,128
494,128
494,128
494,128
494,128
494,128
494,128
494,128
494,128
494,128
494,128
495,128
495,128
495,128
495,128
495,128
495,128
495,128
495,128
495,128
495,128
496,128
496,128
496,128
496,128
496,128
496,128
496,128
496,128
496,128
496,128
497,128
497,128
497,128
497,128
497,128
497,128
497,128
497,128
497,128
497,128
498,128
498,128
498,128
498,128
498,128
498,128
498,128
498,128
498,128
498,128
499,128
499,128
499,128
499,128
499,128
499,128
499,128
499,128
499,128
499,128
500,128
500,128
500,128
500,128
500,128
500,128
500,128
500,128
500,128
500,128
500,128
501,128
501,128
501,128
501,128
501,128
501,128
501,128
501,128
501,128
501,128
502,128
502,128
502,128
502,128
502,128
502,128
502,128
502,128
502,128
502,128
503,128
503,128
503,128
503,128
503,128
503,128
503,128
503,128
503,128
503,128
504,128
504,128
504,128
504,128
504,128
504,128
504,128
504,128
504,128
504,128
505,128
505,128
505,128
505,128
505,128
505,128
505,128
505,128
505,128
505,128
506,128
506,128
506,128
506,128
506,128
506,128
506,128
506,128
506,128
506,128
507,128
507,128
507,128
507,128
507,128
507,128
507,128
507,128
507,128
507,128
508,128
508,128
508,128
508,128
508,128
508,128
508,128
508,128
508,128
508,128
509,128
509,128
509,128
509,128
510,128
510,128
510,128
510,128
511,128
511,128
511,128
511,128
511,128
511,128
511,128
511,128
511,128
511,128
512,128
512,128
512,128
512,128
512,128
512,128
512,128
512,128
512,128
512,128
513,127
513,127
513,127
513,127
513,127
513,127
513,127
513,127
513,127
513,127
514,126
514,126
514,126
514,126
514,126
514,126
514,126
514,126
514,126
514,126
515,125
515,125
515,125
515,125
515,125
515,125
515,125
515,125
515,125
515,125
516,124
516,124
516,124
516,124
516,124
516,124
516,124
516,124
516,124
516,124
517,123
517,123
517,123
517,123
517,123
517,123
517,123
517,123
517,123
517,123
518,122
518,122
518,122
518,122
518,122
518,122
518,122
518,122
518,122
518,122
519,121
519,121
519,121
519,121
519,121
519,121
519,121
519,121
519,121
519,121
520,120
520,120
520,120
520,120
520,120
520,120
520,120
520,120
520,120
520,120
521,119
521,119
521,119
521,119
521,119
521,119
521,119
521,119
521,119
521,119
522,118
522,118
522,118
522,118
522,118
522,118
522,118
522,118
522,118
522,118
523,117
523,117
523,117
523,117
523,117
523,117
523,117
523,117
523,117
523,117
524,116
524,116
524,116
524,116
524,116
524,116
524,116
524,116
524,116
524,116
525,115
525,115
525,115
525,115
525,115
525,115
525,115
525,115
525,115
525,115
526,114
526,114
526,114
526,114
526,114
526,114
526,114
526,114
526,114
526,114
527,113
527,113
527,113
527,113
527,113
527,113
527,113
527,113
527,113
527,113
528,112
528,112
528,112
528,112
528,112
528,112
528,112
528,112
528,112
528,112
529,111
529,111
529,111
529,111
529,111
529,111
529,111
529,111
529,111
529,111
530,110
530,110
530,110
530,110
530,110
530,110
530,110
530,110
530,110
530,110
531,109
531,109
531,109
531,109
531,109
531,109
531,109
531,109
531,109
531,109
532,108
532,108
532,108
532,108
532,108
532,108
532,108
532,108
532,108
532,108
533,107
533,107
533,107
533,107
533,107
533,107
533,107
533,107
533,107
533,107
534,106
534,106
534,106
534,106
534,106
534,106
534,106
534,106
534,106
534,106
535,105
535,105
535,105
535,105
535,105
535,105
535,105
535,105
535,105
535,105
536,104
536,104
536,104
536,104
536,104
536,104
536,104
536,104
536,104
536,104
537,103
537,103
537,103
537,103
537,103
537,103
537,103
537,103
537,103
537,103
538,102
538,102
538,102
538,102
538,102
538,102
538,102
538,102
538,102
538,102
539,101
539,101
539,101
539,101
539,101
539,101
539,101
539,101
539,101
539,101
540,100
540,100
540,100
540,100
540,100
540,100
540,100
540,100
540,100
540,100
541,99
541,99
541,99
541,99
541,99
541,99
541,99
541,99
541,99
541,99
542,98
542,98
542,98
542,98
542,98
542,98
542,98
542,98
542,98
542,98
543,97
543,97
543,97
543,97
543,97
543,97
543,97
543,97
543,97
543,97
544,96
544,96
544,96
544,96
544,96
544,96
544,96
544,96
544,96
544,96
545,95
545,95
545,95
545,95
545,95
545,95
545,95
545,95
545,95
545,95
546,94
546,94
546,94
546,94
546,94
546,94
546,94
546,94
546,94
546,94
547,93
547,93
547,93
547,93
547,93
547,93
547,93
547,93
547,93
547,93
548,92
548,92
548,92
548,92
548,92
548,92
548,92
548,92
548,92
548,92
549,91
549,91
549,91
549,91
549,91
549,91
549,91
549,91
549,91
549,91
550,90
550,90
550,90
550,90
550,90
550,90
550,90
550,90
550,90
550,90
551,89
551,89
551,89
551,89
551,89
551,89
551,89
551,89
551,89
551,89
552,88
552,88
552,88
552,88
552,88
552,88
552,88
552,88
552,88
552,88
553,87
553,87
553,87
553,87
553,87
553,87
553,87
553,87
553,87
553,87
554,86
554,86
554,86
554,86
554,86
554,86
554,86
554,86
554,86
554,86
555,85
555,85
555,85
555,85
555,85
555,85
555,85
555,85
555,85
555,85
556,84
556,84
556,84
556,84
556,84
556,84
556,84
556,84
556,84
556,84
557,83
557,83
557,83
557,83
557,83
557,83
557,83
557,83
557,83
557,83
558,82
558,82
558,82
558,82
558,82
558,82
558,82
558,82
558,82
558,82
559,81
559,81
559,81
559,81
559,81
559,81
559,81
559,81
559,81
559,81
560,80
560,80
560,80
560,80
560,80
560,80
560,80
560,80
560,80
560,80
561,79
561,79
561,79
561,79
561,79
561,79
561,79
561,79
561,79
561,79
562,78
562,78
562,78
562,78
562,78
562,78
562,78
562,78
562,78
562,78
563,77
563,77
563,77
563,77
563,77
563,77
563,77
563,77
563,77
563,77
564,76
564,76
564,76
564,76
564,76
564,76
564,76
564,76
564,76
564,76
565,75
565,75
565,75
565,75
565,75
565,75
565,75
565,75
565,75
565,75
566,74
566,74
566,74
566,74
566,74
566,74
566,74
566,74
566,74
566,74
567,73
567,73
567,73
567,73
567,73
567,73
567,73
567,73
567,73
567,73
568,72
568,72
568,72
568,72
568,72
568,72
568,72
568,72
568,72
568,72
569,71
569,71
569,71
569,71
569,71
569,71
569,71
569,71
569,71
569,71
570,70
570,70
570,70
570,70
570,70
570,70
570,70
570,70
570,70
570,70
571,69
571,69
571,69
571,69
571,69
571,69
571,69
571,69
571,69
571,69
572,68
572,68
572,68
572,68
572,68
572,68
572,68
572,68
572,68
572,68
573,67
573,67
573,67
573,67
573,67
573,67
573,67
573,67
573,67
573,67
574,66
574,66
574,66
574,66
574,66
574,66
574,66
574,66
574,66
574,66
575,65
575,65
575,65
575,65
575,65
575,65
575,65
575,65
575,65
575,65
576,64
576,64
576,64
576,64
576,64
576,64
576,64
576,64
576,64
576,64
577,63
577,63
577,63
577,63
577,63
577,63
577,63
577,63
577,63
577,63
578,62
578,62
578,62
578,62
578,62
578,62
578,62
578,62
578,62
578,62
579,61
579,61
579,61
579,61
579,61
579,61
579,61
579,61
579,61
579,61
580,60
580,60
580,60
580,60
580,60
580,60
580,60
580,60
580,60
580,60
581,59
581,59
581,59
581,59
581,59
581,59
581,59
581,59
581,59
581,59
582,58
582,58
582,58
582,58
582,58
582,58
582,58
582,58
582,58
582,58
583,57
583,57
583,57
583,57
583,57
583,57
583,57
583,57
583,57
583,57
584,56
584,56
584,56
584,56
584,56
584,56
584,56
584,56
584,56
584,56
585,55
585,55
585,55
585,55
585,55
585,55
585,55
585,55
585,55
585,55
586,54
586,54
586,54
586,54
586,54
586,54
586,54
586,54
586,54
586,54
587,53
587,53
587,53
587,53
587,53
587,53
587,53
587,53
587,53
587,53
588,52
588,52
588,52
588,52
588,52
588,52
588,52
588,52
588,52
588,52
589,51
589,51
589,51
589,51
589,51
589,51
589,51
589,51
589,51
589,51
590,50
590,50
590,50
590,50
590,50
590,50
590,50
590,50
590,50
590,50
591,49
591,49
591,49
591,49
591,49
591,49
591,49
591,49
591,49
591,49
592,48
592,48
592,48
592,48
592,48
592,48
592,48
592,48
592,48
592,48
593,47
593,47
593,47
593,47
593,47
593,47
593,47
593,47
593,47
593,47
594,46
594,46
594,46
594,46
594,46
594,46
594,46
594,46
594,46
594,46
595,45
595,45
595,45
595,45
595,45
595,45
595,45
595,45
595,45
595,45
596,44
596,44
596,44
596,44
596,44
596,44
596,44
596,44
596,44
596,44
597,43
597,43
597,43
597,43
597,43
597,43
597,43
597,43
597,43
597,43
598,42
598,42
598,42
598,42
598,42
598,42
598,42
598,42
598,42
598,42
599,41
599,41
599,41
599,41
599,41
599,41
599,41
599,41
599,41
599,41
600,40
600,40
600,40
600,40
600,40
600,40
600,40
600,40
600,40
600,40
601,39
601,39
601,39
601,39
601,39
601,39
601,39
601,39
601,39
601,39
602,38
602,38
602,38
602,38
602,38
602,38
602,38
602,38
602,38
602,38
603,37
603,37
603,37
603,37
603,37
603,37
603,37
603,37
603,37
603,37
604,36
604,36
604,36
604,36
604,36
604,36
604,36
604,36
604,36
604,36
605,35
605,35
605,35
605,35
605,35
605,35
605,35
605,35
605,35
605,35
606,34
606,34
606,34
606,34
606,34
606,34
606,34
606,34
606,34
606,34
607,33
607,33
607,33
607,33
607,33
607,33
607,33
607,33
607,33
607,33
608,32
608,32
608,32
608,32
608,32
608,32
608,32
608,32
608,32
608,32
609,31
609,31
609,31
609,31
609,31
609,31
609,31
609,31
609,31
609,31
610,30
610,30
610,30
610,30
610,30
610,30
610,30
610,30
610,30
610,30
611,29
611,29
611,29
611,29
611,29
611,29
611,29
611,29
611,29
611,29
612,28
612,28
612,28
612,28
612,28
612,28
612,28
612,28
612,28
612,28
613,27
613,27
613,27
613,27
613,27
613,27
613,27
613,27
613,27
613,27
614,26
614,26
614,26
614,26
614,26
614,26
614,26
614,26
614,26
614,26
615,25
615,25
615,25
615,25
615,25
615,25
615,25
615,25
615,25
615,25
616,24
616,24
616,24
616,24
616,24
616,24
616,24
616,24
616,24
616,24
617,23
617,23
617,23
617,23
617,23
617,23
617,23
617,23
617,23
617,23
618,22
618,22
618,22
618,22
618,22
618,22
618,22
618,22
618,22
618,22
619,21
619,21
619,21
619,21
619,21
619,21
619,21
619,21
619,21
619,21
620,20
620,20
620,20
620,20
620,20
620,20
620,20
620,20
620,20
620,20
621,19
621,19
621,19
621,19
621,19
621,19
621,19
621,19
621,19
621,19
622,18
622,18
622,18
622,18
622,18
622,18
622,18
622,18
622,18
622,18
623,17
623,17
623,17
623,17
623,17
623,17
623,17
623,17
623,17
623,17
624,16
624,16
624,16
624,16
624,16
624,16
624,16
624,16
624,16
624,16
625,15
625,15
625,15
625,15
625,15
625,15
625,15
625,15
625,15
625,15
626,14
626,14
626,14
626,14
626,14
626,14
626,14
626,14
626,14
626,14
627,13
627,13
627,13
627,13
627,13
627,13
627,13
627,13
627,13
627,13
628,12
628,12
628,12
628,12
628,12
628,12
628,12
628,12
628,12
628,12
629,11
629,11
629,11
629,11
629,11
629,11
629,11
629,11
629,11
629,11
630,10
630,10
630,10
630,10
630,10
630,10
630,10
630,10
630,10
630,10
631,9
631,9
631,9
631,9
631,9
631,9
631,9
631,9
631,9
631,9
632,8
632,8
632,8
632,8
632,8
632,8
632,8
632,8
632,8
632,8
633,7
633,7
633,7
633,7
633,7
633,7
633,7
633,7
633,7
633,7
634,6
634,6
634,6
634,6
634,6
634,6
634,6
634,6
634,6
634,6
635,5
635,5
635,5
635,5
635,5
635,5
635,5
635,5
635,5
635,5
636,4
636,4
636,4
636,4
636,4
636,4
636,4
636,4
636,4
636,4
637,3
637,3
637,3
637,3
637,3
637,3
637,3
637,3
637,3
637,3
638,2
638,2
638,2
638,2
638,2
638,2
638,2
638,2
638,2
638,2
639,1
639,1
639,1
639,1
639,1
639,1
639,1
639,1
639,1
639,1
